MIDI,NAME,TAB_c,ALT_TAB_c,TAB_d,ALT_TAB_d,FREQ,MIN FREQ,MAX FREQ,HOLE,DRAW,SLIDE,STAFF SHARP,STAFF FLAT,LEDGER SHARP,LEDGER FLAT
0, ,na,na,na,na,8.18,0,8.42,0,0,0,-99,-99,-99,-99
1, ,na,na,na,na,8.66,8.42,8.92,0,0,0,-99,-99,-99,-99
2, ,na,na,na,na,9.18,8.92,9.45,0,0,0,-99,-99,-99,-99
3, ,na,na,na,na,9.72,9.45,10.01,0,0,0,-99,-99,-99,-99
4, ,na,na,na,na,10.3,10.01,10.605,0,0,0,-99,-99,-99,-99
5, ,na,na,na,na,10.91,10.605,11.235,0,0,0,-99,-99,-99,-99
6, ,na,na,na,na,11.56,11.235,11.905,0,0,0,-99,-99,-99,-99
7, ,na,na,na,na,12.25,11.905,12.615,0,0,0,-99,-99,-99,-99
8, ,na,na,na,na,12.98,12.615,13.365,0,0,0,-99,-99,-99,-99
9, ,na,na,na,na,13.75,13.365,14.16,0,0,0,-99,-99,-99,-99
10, ,na,na,na,na,14.57,14.16,15,0,0,0,-99,-99,-99,-99
11, ,na,na,na,na,15.43,15,15.89,0,0,0,-99,-99,-99,-99
12, ,na,na,na,na,16.35,15.89,16.835,0,0,0,-99,-99,-99,-99
13, ,na,na,na,na,17.32,16.835,17.835,0,0,0,-99,-99,-99,-99
14, ,na,na,na,na,18.35,17.835,18.9,0,0,0,-99,-99,-99,-99
15, ,na,na,na,na,19.45,18.9,20.025,0,0,0,-99,-99,-99,-99
16, ,na,na,na,na,20.6,20.025,21.215,0,0,0,-99,-99,-99,-99
17, ,na,na,na,na,21.83,21.215,22.475,0,0,0,-99,-99,-99,-99
18, ,na,na,na,na,23.12,22.475,23.81,0,0,0,-99,-99,-99,-99
19, ,na,na,na,na,24.5,23.81,25.23,0,0,0,-99,-99,-99,-99
20, ,na,na,na,na,25.96,25.23,26.73,0,0,0,-99,-99,-99,-99
